id,symbol,made_at,target_at,now_price,sigma_h,quantile,call_value,kalshi_strike,kalshi_no_at_strike,kalshi_no_at_call,model_no_at_strike,edge_pp,actual_price,won,settled_at,made_at_iso,target_at_iso,settled_at_iso
104,BTCUSDT,1778644817.9386356,1778648400.0,81250.81,0.0018390244443210737,0.7,81310.9142404971,81299.99,0.58,0.5980249968202166,0.6670484087901362,8.70484087901362,81231.96,1,1778648415.7007167,2026-05-13T00:00:17,2026-05-13T01:00:00,2026-05-13T01:00:15
103,BTCUSDT,1778641215.4708803,1778644800.0,81040.01,0.002240380495383957,0.7,81113.04755565409,81099.99,0.6950000000000001,0.7165449668292422,0.6676065276898586,-2.7393472310141442,81249.99,0,1778644812.4330251,2026-05-12T23:00:15,2026-05-13T00:00:00,2026-05-13T00:00:12
102,BTCUSDT,1778637616.1886246,1778641200.0,81017.35,0.003161490528582008,0.7,81120.40648373224,,,0.6966455497849586,,,81050.0,1,1778641209.9521558,2026-05-12T22:00:16,2026-05-12T23:00:00,2026-05-12T23:00:09
101,BTCUSDT,1778634003.151692,1778637600.0,80718.0,0.002227708120864399,0.7,80790.33567446088,80799.99,1.0,1.0,0.7228262684914446,-27.71737315085554,81005.99,0,1778637610.758892,2026-05-12T21:00:03,2026-05-12T22:00:00,2026-05-12T22:00:10
100,BTCUSDT,1778630404.5125198,1778634000.0,80504.46,0.002095831126832303,0.7,80572.33167473896,80599.99,0.525,0.525,0.7657988811236786,24.079888112367854,80718.0,0,1778634015.931339,2026-05-12T20:00:04,2026-05-12T21:00:00,2026-05-12T21:00:15
99,BTCUSDT,1778626800.9791594,1778630400.0,80656.44,0.0018216369029375938,0.7,80715.54024198063,80699.99,0.525,0.525,0.6516541571173154,12.665415711731542,80504.47,1,1778630413.5950365,2026-05-12T19:00:00,2026-05-12T20:00:00,2026-05-12T20:00:13
98,BTCUSDT,1778623201.230216,1778626800.0,80626.0,0.0021987358959611432,0.7,80697.31313113836,80699.99,0.765,0.7568355499719888,0.7065411578356697,-5.845884216433028,80656.44,1,1778626815.719396,2026-05-12T18:00:01,2026-05-12T19:00:00,2026-05-12T19:00:15
97,BTCUSDT,1778619614.0619671,1778623200.0,80707.46,0.0017908249784409846,0.7,80765.59698779984,80799.99,0.6950000000000001,0.6365318792597245,0.7916442348186329,9.664423481863283,80587.45,1,1778623217.2565708,2026-05-12T17:00:14,2026-05-12T18:00:00,2026-05-12T18:00:17
96,BTCUSDT,1778616010.9648433,1778619600.0,80845.43,0.002170400681314365,0.7,80916.01529636259,80999.99,0.7949999999999999,0.6472045215981453,0.8593762826098954,6.437628260989547,80696.87,1,1778619608.6411312,2026-05-12T16:00:10,2026-05-12T17:00:00,2026-05-12T17:00:08
95,BTCUSDT,1778612415.2272635,1778616000.0,80714.08,0.002607079253466793,0.7,80798.7365408722,80799.99,0.725,0.7226811006135533,0.7025910995428348,-2.240890045716515,80835.3,0,1778616005.508767,2026-05-12T15:00:15,2026-05-12T16:00:00,2026-05-12T16:00:05
94,BTCUSDT,1778608815.5125866,1778612400.0,80535.41,0.0029712089572751406,0.7,80631.68396392248,80599.99,0.675,0.7162021530992148,0.6388915047169497,-3.610849528305038,80679.11,0,1778612409.8156066,2026-05-12T14:00:15,2026-05-12T15:00:00,2026-05-12T15:00:09
93,BTCUSDT,1778605215.800582,1778608800.0,79964.47,0.0047640374802936,0.7,80117.79663203601,80099.99,0.725,0.7436969636378089,0.6791930830523736,-4.58069169476264,80527.69,0,1778608809.997328,2026-05-12T13:00:15,2026-05-12T14:00:00,2026-05-12T14:00:09
92,BTCUSDT,1778601612.0643938,1778605200.0,80252.53,0.004217138514279177,0.7,80388.72908679298,80399.99,0.78,0.7625455845291174,0.7142766873611853,-6.57233126388147,80000.01,1,1778605210.310938,2026-05-12T12:00:12,2026-05-12T13:00:00,2026-05-12T13:00:10
